cand_name,cid,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt,origin,source,last_updated
"Rouzer, David",N00033527,2022,NC,R,H,2014,2022,1482708.26,1294928.4,1616279.67,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033527&cycle=2022,12/31/2022
"LaHood, Darin",N00037031,2022,IL,R,H,2015,2022,3898021.68,3023903.67,3964688.85,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037031&cycle=2022,12/31/2022
"Barragan, Nanette",N00037019,2022,CA,D,H,2016,2022,1200876.01,747856.73,1503771.14,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037019&cycle=2022,12/31/2022
"Hirono, Mazie K",N00028139,2022,HI,D,S,2012,2024,4822569.11,4722326.07,913179.31,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00028139&cycle=2022,12/31/2022
"Granger, Kay",N00008799,2022,TX,R,H,1996,2022,1979591.34,1973092.47,317164.25,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00008799&cycle=2022,12/31/2022
"Sanders, Bernie",N00000528,2022,VT,I,S,2006,2024,38310350.72,31581612.24,9733221.68,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000528&cycle=2022,12/31/2022
"Casar, Greg",N00049855,2022,,D,,,2022,1756510.27,1593549.04,162961.23,10000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049855&cycle=2022,12/31/2022
"Cartwright, Matt",N00034128,2022,PA,D,H,2012,2022,5301456.77,5419702.04,52620.29,242800,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00034128&cycle=2022,12/31/2022
"Buchanan, Vernon",N00027626,2022,FL,R,H,2006,2022,4038100.32,2727834.67,1383350.73,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027626&cycle=2022,12/31/2022
"Porter, Katie",N00040865,2022,CA,D,H,2018,2022,25655726.84,28488520.42,7434958.86,24395.65,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00040865&cycle=2022,12/31/2022
"Sasse, Ben",N00035544,2022,NE,R,S,2014,2026,6413151.81,4674009.29,2717793.04,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035544&cycle=2022,12/31/2022
"Warren, Elizabeth",N00033492,2022,MA,D,S,2012,2024,37334457.42,39855429.97,2324574.82,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033492&cycle=2022,12/31/2022
"Ellzey, Jake",N00042243,2022,TX,R,H,2021,2022,6802673.65,6204999.66,597673.99,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042243&cycle=2022,12/31/2022
"Garcia, Robert",N00049470,2022,,D,,,2022,1674284.2,1343722.11,330562.09,27586.61,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049470&cycle=2022,12/31/2022
"Griffith, Morgan",N00032029,2022,VA,R,H,2010,2022,809004.52,641209.79,589236.27,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00032029&cycle=2022,12/31/2022
"Williams, Roger",N00030602,2022,TX,R,H,2012,2022,1767650.22,1409029.8,370162.26,44800,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030602&cycle=2022,12/31/2022
"Garbarino, Andrew",N00046030,2022,NY,R,H,2020,2022,3486768.2,3321540.35,297081.8,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046030&cycle=2022,12/31/2022
"Crockett, Jasmine",N00049840,2022,,D,,,2022,963247.36,810397.99,152849.37,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049840&cycle=2022,12/31/2022
"Welch, Peter",N00000515,2022,VT,D,H,2006,2022,5363252.57,3403582.51,1959670.06,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000515&cycle=2022,12/31/2022
"Gonzales, Tony",N00044592,2022,TX,R,H,2020,2022,4290564.2,3967535.28,354387.81,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044592&cycle=2022,12/31/2022
"Budd, Ted",N00039551,2022,NC,R,H,2016,2022,14244472.09,15043283.02,272187.73,541542.28,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00039551&cycle=2022,12/31/2022
"Moulton, Seth",N00035431,2022,MA,D,H,2014,2022,2103314.83,1579668.7,769314.25,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035431&cycle=2022,12/31/2022
"Daines, Steven",N00033054,2022,MT,R,S,2014,2026,33576233.85,33756595.81,745084.16,44813.08,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033054&cycle=2022,12/31/2022
"Napolitano, Grace",N00006789,2022,CA,D,H,1998,2022,364949.95,237581.5,660698.43,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00006789&cycle=2022,12/31/2022
"Frost, Maxwell",N00049075,2022,,D,,,2022,2938011.52,2604012.92,333998.6,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049075&cycle=2022,12/31/2022
"Kelly, Mark",N00044223,2022,AZ,D,S,2020,2022,89153865.15,89098513.43,1457875.18,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044223&cycle=2022,12/31/2022
"Bice, Stephanie",N00044579,2022,OK,R,H,2020,2022,2379657.78,1969634.46,621614.43,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044579&cycle=2022,12/31/2022
"Schatz, Brian",N00028138,2022,HI,D,S,2012,2022,4671635.5,4808049.88,2110750.35,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00028138&cycle=2022,12/31/2022
"Bowman, Jamaal",N00044790,2022,NY,D,H,2020,2022,1859144.98,1915102.48,21516.46,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044790&cycle=2022,12/31/2022
"Ryan, Pat",N00041165,2022,NY,D,H,2022,2022,4716572.48,4680861.93,35710.55,108122.77,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041165&cycle=2022,12/31/2022
