org_name,total,pacs,indivs,cycle,source,cid
"Akin, Gump et al",15800,5000,10800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
CME Assoc,14500,0,14500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
Greater New York Hospital Assn,13800,0,13800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
National Assn of Broadcasters,13500,10000,3500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
Google Inc,13150,10000,3150,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000781&cycle=2022,N00000781
Goldman Sachs,83700,13500,70200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
Stephens Inc,60543,5000,55543,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
Lockheed Martin,50346,8000,42346,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
Apollo Global Management,49200,0,49200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
Blackstone Group,34900,0,34900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
Pro-israel America PAC,33550,0,33550,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
McNa Dental Plans,31200,0,31200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
"Gibson, Dunn & Crutcher",30950,0,30950,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
Boston Consulting Group,29050,0,29050,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
Station Casinos,29000,0,29000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00033363&cycle=2022,N00033363
American Israel Public Affairs Cmte,22100,10000,12100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
DaVita Inc,18500,4000,14500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
JStreetPAC,15631,1000,14631,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
American Optometric Assn,15000,15000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
Condista Networks LLC,12750,0,12750,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
National Assn of Broadcasters,10116,5000,5116,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
American Federation of Teachers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
American Hospital Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
AT&T Inc,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026961&cycle=2022,N00026961
House Freedom Fund,49295,10000,39295,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Club for Growth,32150,0,32150,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Blue Ocean,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Georgia Capital LLC,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Uranium Energy Corp,13100,0,13100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
21st Century Healthcare,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Florida Capital Real Estate Group,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Jackson Hole Mountain Resort,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Ngp,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
Unicity,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049197&cycle=2022,N00049197
JStreetPAC,61117,6000,55117,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Fermilab,37728,0,37728,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Digidems PAC,36530,5000,31530,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
University of Chicago,31857,0,31857,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Democracy Engine,25640,0,25640,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Stanford University,24600,0,24600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Frontline USA,21200,10000,11200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Boston University,21150,0,21150,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Argonne National Laboratory,19606,0,19606,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Northwestern University,19460,0,19460,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029139&cycle=2022,N00029139
Jayco Inc,62000,0,62000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Rollie Williams Paint,29000,0,29000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
American Israel Public Affairs Cmte,27650,10000,17650,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Bci Solutions,23700,0,23700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Maple Leaf Farms,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Thor Industries,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Barnes & Thornburg,22555,0,22555,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Jump Into Action for Conservatives To Keep Ideas,20000,20000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Ml Motorsports,20000,0,20000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
Accurate Castings,19400,0,19400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00051733&cycle=2022,N00051733
American Israel Public Affairs Cmte,34000,10000,24000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042808&cycle=2022,N00042808
Club for Growth,21498,0,21498,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042808&cycle=2022,N00042808
US Sugar,12725,7500,5225,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042808&cycle=2022,N00042808
Nextone LLC,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042808&cycle=2022,N00042808
